tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
7501,NA,PIEN,13.5,13.5,H,16.3,-,0,T,3,I,A,S,-,-,100,80,0,Y,-,,2026-08-05,,,
7502,NA,PICO,16.3,16.1,H,33.2,-,0,T,4,C,A,S,10% brown,-,100,90,0,Y,2,,2026-08-05,,,
7503,NA,ABLA,2.7,-,T,4.5,-,0,C,1,S,A,S,10% brown,-,100,90,0,Y,-,,2026-08-05,,,
7504,NA,PICO,16.1,16.3,H,30.2,-,0,T,4,C,A,S,-,-,90,100,0,N,2,new leader,2026-08-05,,,
7505,NA,ABLA,5.7,5.9,H,6.4,6.2,0,C,2,I,A,S,BW,-,90,90,0,Y,1,,2026-08-05,,,
7506,NA,ABLA,9.0,9.1,H,11.2,-,0,T,3,I,A,S,BW,-,100,80,0,Y,-,,2026-08-05,,,
7507,NA,ABLA,-,-,-,NA,-,NA,,-,-,D,S,,-,0,0,0,-,-,,2026-08-05,,row,row partly crossed out but has 0/0/0 written for crown/leaves/lean - not treated as a fully crossed-out row; DBH_Method cell looks struck through - confirm
7508,NA,ABLA,2.2,-,T,2.0,2.0,0,C,1,S,A,S,BW,-,90,80,0,Y,-,,2026-08-05,,,
7509,NA,PIEN,3.7,-,T,6.6,5.5,0,C,2,S,A,S,BW,-,90,90,0,Y,-,,2026-08-05,,,
7510,NA,PIEN,1.7,-,T,1.4,1.5,0,C,2,S,A,L,"BW, sappy",-,90,90,10,Y,-,,2026-08-05,,,
7511,NA,ABLA,13.4,13.6,H,20.4,-,0,T,4,I,A,S,BW in past,-,100,90,0,Y,-,,2026-08-05,,,
7512,NA,ABLA,8.7,8.6,H,16.2,-,0,T,3,I,A,S,10% red,-,100,90,0,Y,2,2 leaders,2026-08-05,,,
7513,NA,ABLA,10.4,10.1,H,20.5,-,0,T,4,I,A,S,BW,9.8,90,80,0,Y,1,dead crown,2026-08-05,,pct_crown,% Crown written as 1 90 (stray tick before the 90) - entered 90
7514,NA,PIEN,19.2,19.5,H,25.1,-,0,T,4,D,A,S,-,-,100,90,0,Y,-,,2026-08-05,,,
7515,NA,ABLA,2.6,-,T,3.2,3.1,0,C,1,S,A,S,BW,-,80,80,20,Y,1,,2026-08-05,,deathdam_mode,DeathDam_Mode has extra faint pencil text next to BW - confirm
7516,NA,ABLA,1.7,-,T,1.1,1.2,0,C,1,S,A,S,BW,-,100,90,0,Y,-,curved at base,2026-08-05,,,
7517,NA,ABLA,12.4,12.2,H,22.3,-,0,T,3,I,A,S,-,9.4,80,90,0,Y,-,dead crown,2026-08-05,,pct_leaves,% Leaves written as 1 90 (stray tick before the 90) - entered 90
7518,NA,ABLA,1.7,-,T,1.6,1.6,0,C,1,S,A,L,BW,-,100,90,40,Y,2,cracked at base,2026-08-05,,,
7519,NA,ABLA,2.3,-,T,4.4,3.9,0,C,2,S,A,S,BW,-,100,90,0,Y,-,,2026-08-05,,,
7520,NA,ABLA,12.5,12.6,H,16.2,-,0,T,3,I,A,S,-,-,100,100,0,N,2,cracked trunk,2026-08-05,,,
7521,NA,PIEN,14.4,14.4,H,21.2,-,0,T,5,C,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7522,NA,PIEN,4.3,-,T,5.6,5.4,0,C,2,I,A,S,BW,-,90,80,0,Y,-,shares base with 7521,2026-08-05,,,
7523,NA,ABLA,1.7,-,T,1.5,1.5,0,C,1,S,A,S,BW,1.6,50,60,0,Y,-,,2026-08-05,,,
7524,NA,ABLA,6.5,6.6,H,12.0,-,0,T,2,I,A,S,-,-,100,100,0,Y,-,,2026-08-05,,,
7525,NA,PICO,16.2,16.3,H,37.7,-,0,T,4,C,A,L,-,15.5,90,100,10,Y,-,dead crown,2026-08-05,,pct_crown,% Crown written as 1 90 (stray tick before the 90) - entered 90
7526,NA,ABLA,7.6,7.6,H,10.6,-,0,T,3,I,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7527,NA,ABLA,16.7,16.8,H,20.2,-,0,T,4,I,OK,S,-,-,100,90,0,Y,-,2 leaders,2026-08-05,,,
7528,NA,ABLA,14.9,15.1,H,17.6,-,0,T,3,I,OK,S,-,-,100,100,0,N,2,,2026-08-05,,,
7529,NA,ABLA,3.4,-,T,3.6,3.7,0,C,1,S,A,S,BW,-,100,90,0,Y,-,crown is curved,2026-08-05,,,
7530,NA,ABLA,3.6,-,T,5.7,5.7,0,C,1,S,A,S,-,-,100,90,0,N,-,,2026-08-05,,,
7531,NA,ABLA,1.5,-,T,1.0,1.1,0,C,1,S,A,S,BW,-,100,90,0,Y,2,,2026-08-05,,,
7532,NA,PIEN,18.3,18.6,H,34.9,-,0,T,5,D,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7533,NA,ABLA,2.7,-,T,3.4,3.4,0,C,1,S,A,S,BW,-,100,90,0,Y,-,,2026-08-05,,,
7534,NA,ABLA,3.8,-,T,5.2,5.4,0,C,2,S,A,S,,-,90,90,0,Y,-,,2026-08-05,,,
7535,NA,ABLA,5.0,-,T,6.4,6.6,0,C,2,S,A,L,BW,-,90,90,5,Y,-,,2026-08-05,,,
7536,NA,PIEN,1.8,-,T,1.7,1.8,0,C,2,S,A,L,,1.7,70,80,20,Y,-,,2026-08-05,,,
7537,NA,PIEN,1.8,-,T,2.1,2.1,0,C,1,S,A,S,BW,-,100,100,0,Y,-,,2026-08-05,,,
7538,NA,PIEN,2.0,-,T,1.8,1.8,0,C,1,S,A,S,BW,-,100,100,0,Y,-,,2026-08-05,,,
7539,NA,PIEN,2.2,-,T,2.5,2.6,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,pct_crown,% Crown looks like 160 (a 100 with an extra stroke) - entered 100
7540,NA,ABLA,5.0,-,T,6.1,6.5,0,C,2,S,A,S,sap BW,-,80,90,0,Y,2,,2026-08-05,,pct_crown,% Crown value overwritten (80 written over another number) - confirm
7541,NA,ABLA,17.9,18.1,H,30.0,-,0,T,5,C,A,S,BW,-,90,90,0,Y,-,2 leaders,2026-08-05,,pct_crown,% Crown written as 1 90 (stray tick before the 90) - entered 90
7542,NA,ABLA,9.7,9.1,H,14.8,-,0,T,3,I,A,S,yellow,-,100,90,0,Y,-,,2026-08-05,,,
7543,NA,ABLA,11.3,11.4,H,14.0,-,0,T,3,I,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7544,NA,PIEN,15.3,15.2,H,22.1,-,0,T,4,I,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7545,NA,ABLA,15.3,16.0,H,22.3,-,0,T,4,C,A,S,-,-,100,90,0,Y,-,,2026-08-05,,,
7546,NA,ABLA,2.3,-,T,2.6,2.6,0,C,1,S,A,S,BW,-,90,90,-,Y,-,,2026-08-05,,,
7547,NA,ABLA,3.9,-,T,5.5,-,0,T,2,S,A,S,sap 10% red,2.6,60,90,-,Y,-,healed wound?,2026-08-05,,,
7548,NA,PIEN,1.9,-,T,2.3,2.4,0,C,1,S,A,S/U,BW,-,100,90,-,Y,1,bent at base,2026-08-05,,,
7549,NA,ABLA,3.1,-,T,3.6,3.7,0,C,1,S,A,S,BW,-,80,70,-,Y,-,,2026-08-05,,,
7550,NA,ABLA,2.1,-,T,1.7,1.8,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7551,NA,PIEN,2.6,-,T,3.5,3.6,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7552,NA,PIEN,9.9,9.7,H,12.9,-,0,T,3,I,OK,S,-,-,100,100,0,N,-,,2026-08-05,,,
7553,NA,ABLA,2.7,-,T,2.9,3.1,0,C,1,S,A,S,BW,-,100,90,-,Y,1,,2026-08-05,,,
7554,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-05,Y,,
7555,NA,PIEN,2.7,-,T,4.7,4.6,0,C,2,S,A,L,BW,-,90,90,10,Y,1,curvy,2026-08-05,,,
7556,NA,ABLA,1.9,-,T,2.9,2.8,0,C,1,S,A,S,10% red BW,-,100,80,-,Y,1,,2026-08-05,,,
7557,NA,PIEN,2.3,-,T,4.2,4.4,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7558,NA,UNKN,,,,NA,,,,,,D,S,,,,,,,,,2026-08-05,Y,,
7559,NA,PIEN,4.7,-,T,5.7,-,0,T,2,S,A,S,BW,-,100,90,-,Y,2,bend at base,2026-08-05,,,
7560,NA,PIEN,5.3,-,T,6.5,-,0,T,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,comment,"pre-printed comment was edited by hand (looks like 'shares base with 7560' on row 7560 itself) - left blank, confirm intended neighbour"
7561,NA,PIEN,5.0,-,T,6.6,-,0,T,1,S,A,S,BW,-,100,90,-,Y,-,shares base with 7560,2026-08-05,,,
7562,NA,ABLA,2.4,-,T,2.1,2.0,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7563,NA,PIEN,3.8,-,T,6.0,-,0,T,1,S,A,S,BW,-,100,90,-,Y,-,bend at base,2026-08-05,,,
7564,NA,PIEN,1.9,-,T,2.1,2.1,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7565,NA,PIEN,1.7,-,T,1.4,1.4,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-05,,,
7566,NA,ABLA,1.7,-,T,2.5,2.4,0,C,1,S,A,L,20% red,-,90,90,25,Y,-,,2026-08-05,,,
7567,NA,PIEN,2.6,-,T,3.4,3.7,0,C,2,S,A,S,sap 2% red,-,100,100,-,Y,-,,,,,
7568,NA,PIEN,9.1,9.2,H,12.4,-,0,T,4,I,OK,S,-,-,100,100,0,N,-,,,,,
7569,NA,ABLA,2.1,-,T,2.0,2.1,0,C,1,S,A,L,,-,30,100,50,N,-,,,,,
7570,NA,ABLA,4.5,-,T,4.8,4.8,0,C,1,S,A,L,,-,90,90,10,Y,-,,,,,
7571,NA,ABLA,2.0,-,T,1.8,1.9,0,C,1,S,A,S,3% red,-,100,90,-,Y,-,,,,,
7572,NA,ABLA,16.9,16.7,H,33.2,-,0,T,4,C,A,S,-,15.4,70,90,0,Y,-,dead branches at top,,,,
7573,NA,ABLA,11.8,12.0,H,14.1,-,0,T,3,I,A,S,-,11.5,90,80,0,Y,-,dead crown,,,,
7574,NA,ABLA,14.6,14.8,H,28.6,-,0,T,4,I,A,S,mostly dead,4.5,10,90,0,Y,2,dead top,,,,
7575,NA,PICO,16.8,16.1,H,36.1,-,0,T,4,C,A,S,sappy,15.3,70,80,10,Y,2,dead crown,,,,
7576,NA,PIEN,18.1,18.4,H,24.7,-,0,T,5,C,A,S,-,-,100,90,0,Y,-,,,,,
7577,NA,PIEN,10.5,10.3,H,17.4,-,0,T,3,I,OK,S,-,-,100,100,0,N,-,,,,,
7578,NA,ABLA,3.3,-,T,3.8,3.9,0,C,2,S,A,S,BW 3% red,-,90,90,0,Y,-,,,,,
7579,NA,ABLA,2.3,-,T,2.7,2.7,0,C,1,S,A,S,BW,-,90,90,-,Y,-,,,,,
7580,NA,PICO,,,,NA,,,,,,D,,,,,,,,,,,Y,,
7581,NA,ABLA,12.6,13.8,H,21.2,-,0,T,3,I,OK,S,,-,100,100,0,N,-,top of tree very lost in 7585; hard to see,,,,
7582,NA,ABLA,2.1,-,T,2.3,2.4,0,C,1,S,A,S,2% red,-,100,90,-,Y,-,,,,,
7583,NA,ABLA,3.2,-,T,4.5,4.6,0,C,1,S,A,S,10% red,-,100,90,-,Y,N,,,,wounded_trunk,Wounded_Trunk is an N on the sheet (not 0-3 or a dash) - confirm
7584,NA,ABLA,1.7,-,T,1.9,1.8,0,C,1,S,A,S,3% red,-,80,80,-,Y,2,,,,,
7585,NA,PIEN,20.7,21.6,H,47.5,-,0,T,5,D,A,L,,-,80,90,10,N,-,,,,pct_crown,% Crown written as 1 80 (stray tick before the 80) - entered 80
